iter	Passed	Remaining
611	5092	3228
612	5102	3221
613	5111	3213
614	5120	3205
615	5128	3197
616	5137	3188
617	5146	3180
618	5154	3172
619	5164	3165
620	5172	3156
621	5182	3149
622	5191	3141
623	5200	3133
624	5209	3125
625	5219	3118
626	5227	3110
627	5237	3102
628	5245	3094
629	5254	3086
630	5264	3078
631	5273	3070
632	5282	3062
633	5292	3055
634	5301	3047
635	5311	3039
636	5319	3031
637	5328	3023
638	5337	3015
639	5346	3007
640	5355	2999
641	5364	2991
642	5372	2983
643	5382	2975
644	5392	2967
645	5401	2959
646	5406	2949
647	5415	2941
648	5424	2933
649	5433	2925
650	5442	2917
651	5452	2910
652	5461	2902
653	5469	2893
654	5479	2885
655	5486	2877
656	5495	2869
657	5504	2860
658	5514	2853
659	5523	2845
660	5532	2837
661	5540	2829
662	5549	2820
663	5558	2812
664	5568	2805
665	5577	2797
666	5586	2788
667	5595	2780
668	5600	2770
669	5609	2762
670	5617	2754
671	5626	2746
672	5634	2737
673	5644	2729
674	5652	2721
675	5662	2713
676	5671	2705
677	5680	2697
678	5688	2689
679	5697	2680
680	5706	2672
681	5713	2664
682	5723	2656
683	5731	2647
684	5738	2639
685	5747	2630
686	5754	2621
687	5762	2613
688	5770	2604
689	5778	2596
690	5787	2588
691	5796	2579
692	5805	2571
693	5813	2563
694	5822	2554
695	5830	2546
696	5838	2538
697	5847	2529
698	5855	2521
699	5864	2513
700	5872	2504
701	5880	2496
702	5889	2488
703	5898	2480
704	5907	2471
705	5915	2463
706	5924	2455
707	5931	2446
708	5940	2438
709	5948	2429
710	5956	2421
711	5964	2412
712	5973	2404
713	5981	2395
714	5989	2387
715	5997	2378
716	6005	2370
717	6014	2362
718	6022	2353
719	6030	2345
720	6038	2336
721	6046	2328
722	6056	2320
723	6064	2311
724	6072	2303
725	6081	2295
726	6090	2286
727	6097	2278
728	6106	2270
729	6115	2261
730	6123	2253
731	6131	2244
732	6140	2236
733	6148	2228
734	6156	2219
735	6164	2211
736	6173	2202
737	6181	2194
738	6189	2186
739	6197	2177
740	6205	2169
741	6213	2160
742	6222	2152
743	6230	2143
744	6238	2135
745	6247	2127
746	6256	2119
747	6264	2110
748	6272	2102
749	6280	2093
750	6288	2084
751	6296	2076
752	6305	2068
753	6313	2059
754	6322	2051
755	6330	2043
756	6339	2035
757	6347	2026
758	6355	2017
759	6363	2009
760	6371	2000
761	6378	1992
762	6387	1984
763	6395	1975
764	6404	1967
765	6413	1959
766	6422	1951
767	6431	1942
768	6439	1934
769	6447	1926
770	6456	1917
771	6463	1908
772	6472	1900
773	6480	1892
774	6487	1883
775	6495	1875
776	6504	1866
777	6512	1858
778	6520	1849
779	6529	1841
780	6538	1833
781	6546	1824
782	6555	1816
783	6564	1808
784	6573	1800
785	6581	1792
786	6589	1783
787	6597	1774
788	6605	1766
789	6613	1758
790	6622	1749
791	6630	1741
792	6639	1733
793	6647	1724
794	6656	1716
795	6664	1708
796	6673	1699
797	6681	1691
798	6690	1682
799	6697	1674
800	6705	1665
801	6714	1657
802	6722	1649
803	6731	1640
804	6739	1632
805	6747	1624
806	6755	1615
807	6763	1607
808	6772	1598
809	6779	1590
810	6788	1581
811	6796	1573
812	6805	1565
813	6813	1556
814	6821	1548
815	6832	1540
816	6842	1532
817	6852	1524
818	6859	1516
819	6868	1507
820	6876	1499
821	6884	1490
822	6893	1482
823	6901	1474
824	6909	1465
825	6918	1457
826	6926	1448
827	6935	1440
828	6943	1432
829	6951	1423
830	6959	1415
831	6967	1406
832	6976	1398
833	6984	1390
834	6992	1381
835	7001	1373
836	7008	1364
837	7017	1356
838	7025	1348
839	7033	1339
840	7042	1331
841	7050	1323
842	7058	1314
843	7067	1306
844	7075	1297
845	7084	1289
846	7091	1281
847	7099	1272
848	7108	1264
849	7117	1256
850	7125	1247
851	7134	1239
852	7142	1230
853	7151	1222
854	7158	1214
855	7167	1205
856	7175	1197
857	7184	1188
858	7192	1180
859	7199	1172
860	7208	1163
861	7217	1155
862	7225	1147
863	7233	1138
864	7241	1130
865	7249	1121
866	7257	1113
867	7267	1105
868	7276	1096
869	7284	1088
870	7292	1080
871	7300	1071
872	7308	1063
873	7316	1054
874	7324	1046
875	7332	1037
876	7340	1029
877	7349	1021
878	7357	1012
879	7365	1004
880	7373	996
881	7382	987
882	7390	979
883	7398	970
884	7407	962
885	7415	954
886	7424	945
887	7432	937
888	7440	928
889	7448	920
890	7456	912
891	7465	903
892	7472	895
893	7480	886
894	7489	878
895	7497	870
896	7505	861
897	7514	853
898	7522	845
899	7530	836
900	7538	828
901	7546	819
902	7555	811
903	7563	803
904	7571	794
905	7580	786
906	7587	778
907	7596	769
908	7604	761
909	7612	752
910	7620	744
911	7629	736
912	7638	727
913	7646	719
914	7655	711
915	7663	702
916	7671	694
917	7687	686
918	7710	679
919	7718	671
920	7726	662
921	7735	654
922	7743	645
923	7751	637
924	7760	629
925	7768	620
926	7776	612
927	7785	604
928	7793	595
929	7801	587
930	7809	578
931	7818	570
932	7826	562
933	7834	553
934	7843	545
935	7851	536
936	7859	528
937	7867	520
938	7875	511
939	7884	503
940	7893	494
941	7901	486
942	7910	478
943	7918	469
944	7927	461
945	7935	453
946	7944	444
947	7953	436
948	7961	427
949	7969	419
950	7977	411
951	7985	402
952	7995	394
953	8002	385
954	8011	377
955	8019	369
956	8028	360
957	8036	352
958	8046	344
959	8054	335
960	8062	327
961	8070	318
962	8078	310
963	8086	301
964	8094	293
965	8102	285
966	8110	276
967	8118	268
968	8127	260
969	8135	251
970	8144	243
971	8153	234
972	8161	226
973	8169	218
974	8177	209
975	8186	201
976	8194	192
977	8202	184
978	8210	176
979	8218	167
980	8227	159
981	8236	150
982	8244	142
983	8253	134
984	8262	125
985	8270	117
986	8279	109
987	8287	100
988	8296	92
989	8304	83
990	8313	75
991	8321	67
992	8329	58
993	8337	50
994	8345	41
995	8353	33
996	8361	25
997	8368	16
998	8377	8
999	8385	0
