iter	Logloss
0	0.6864166046
1	0.6793163567
2	0.6728345428
3	0.6666668298
4	0.6608993195
5	0.6556667721
6	0.6507231559
7	0.6451228607
8	0.6405686158
9	0.6349613558
10	0.6310511348
11	0.6271175202
12	0.623677033
13	0.6195615237
14	0.6156822179
15	0.6124533962
16	0.608655787
17	0.6059248615
18	0.603319513
19	0.6002717925
20	0.5973738138
21	0.5952533991
22	0.5928057842
23	0.5902759349
24	0.5877117663
25	0.5853160929
26	0.5827263318
27	0.5808749396
28	0.5786976362
29	0.5764644342
30	0.5746264425
31	0.5725581016
32	0.5702319636
33	0.5684416704
34	0.5671714832
35	0.5654546421
36	0.563985671
37	0.5619556408
38	0.5600564696
39	0.5588140873
40	0.5578577044
41	0.5564470078
42	0.5548247987
43	0.5535633664
44	0.5516000606
45	0.550330191
46	0.549010124
47	0.5476053681
48	0.5466164888
49	0.5454419062
50	0.544460044
51	0.5431398978
52	0.5421087334
53	0.5412848291
54	0.5403174034
55	0.5394844356
56	0.5385904804
57	0.5375450802
58	0.5364242212
59	0.5356351959
60	0.53454025
61	0.5336481175
62	0.5328614011
63	0.531833362
64	0.5309877928
65	0.5302037339
66	0.5294833462
67	0.5287716249
68	0.5280213619
69	0.5270577751
70	0.5264273317
71	0.5254869611
72	0.5248550161
73	0.5242308577
74	0.5235572576
75	0.5231753393
76	0.5224989819
77	0.5218212066
78	0.5212413992
79	0.5206480322
80	0.5199414967
81	0.519173904
82	0.5186661935
83	0.5177970562
84	0.517028794
85	0.5165226036
86	0.5159156559
87	0.515409018
88	0.5147103517
89	0.514411911
90	0.51391604
91	0.5134059643
92	0.5126844137
93	0.5121828712
94	0.5114530825
95	0.5109884232
96	0.5105564372
97	0.5098460119
98	0.5093389119
99	0.5089175931
100	0.5083752905
101	0.5077662215
102	0.5071581717
103	0.506522435
104	0.5060187386
105	0.505410196
106	0.5050461982
107	0.5048623574
108	0.5041875193
109	0.5035399889
110	0.5030610142
111	0.502567881
112	0.5021544721
113	0.5016465241
114	0.5010859269
115	0.5007803835
116	0.5004636575
117	0.4998796246
118	0.4993630516
119	0.4991165973
120	0.498614803
121	0.4979253777
122	0.4974656797
123	0.4968953382
124	0.4961501464
125	0.4956468653
126	0.4951381084
127	0.4948179451
128	0.4944205671
129	0.4939388227
130	0.493515047
131	0.4932786142
132	0.4927924757
133	0.4924261856
134	0.4919250253
135	0.4914597869
136	0.4912052684
137	0.4909838337
